category,slug,product_name,asin,amazon_url,description,tag
HVAC & Heat Pumps,heat-pumps,HVAC Duct Sealing Kit,B07PDRY2T2,https://www.amazon.com/dp/B07PDRY2T2?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
HVAC & Heat Pumps,heat-pumps,Air Flow Balancing Register,B0BPXKVZXV,https://www.amazon.com/dp/B0BPXKVZXV?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Energy Efficient Appliances,smart-home,Energy Efficient Induction Cooktop,B0B4J6PXPN,https://www.amazon.com/dp/B0B4J6PXPN?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Energy Efficient Appliances,smart-home,Portable Induction Burner,B0DM6VPPQS,https://www.amazon.com/dp/B0DM6VPPQS?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Energy Efficient Appliances,smart-home,ENERGY STAR Refrigerator,B0G443NKSP,https://www.amazon.com/dp/B0G443NKSP?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Energy Efficient Appliances,smart-home,Energy Saving Washing Machine,B0799Q45TT,https://www.amazon.com/dp/B0799Q45TT?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Energy Efficient Appliances,smart-home,Heat Pump Clothes Dryer,B082YGFMQZ,https://www.amazon.com/dp/B082YGFMQZ?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Water Conservation,water-fixtures,Rachio Smart Sprinkler Controller,B07CZ864Y9,https://www.amazon.com/dp/B07CZ864Y9?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Water Conservation,water-fixtures,Moen Flo Smart Water Monitor,B00C03D01Q,https://www.amazon.com/dp/B00C03D01Q?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Water Conservation,water-fixtures,Rainwater Collection Barrel,B00YFT9846,https://www.amazon.com/dp/B00YFT9846?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Water Conservation,water-fixtures,Smart Water Leak Detector,B0DQLDBXWF,https://www.amazon.com/dp/B0DQLDBXWF?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Water Conservation,water-fixtures,Smart Water Shutoff Valve,B084WYB8PM,https://www.amazon.com/dp/B084WYB8PM?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Sustainable Bathroom,water-fixtures,Water Saving Low Flow Shower Head,B08WPQ12XX,https://www.amazon.com/dp/B08WPQ12XX?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Sustainable Bathroom,water-fixtures,Water Saving Faucet Aerator,B09ZNWP8YX,https://www.amazon.com/dp/B09ZNWP8YX?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Sustainable Bathroom,water-fixtures,Dual Flush Toilet Conversion Kit,B00B9BNGU0,https://www.amazon.com/dp/B00B9BNGU0?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Sustainable Bathroom,water-fixtures,High Efficiency Water Saving Toilet,B09WYQCPMP,https://www.amazon.com/dp/B09WYQCPMP?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Healthy Home,air-purifiers,Airthings View Plus Indoor Air Quality Monitor,B097YW5Q72,https://www.amazon.com/dp/B097YW5Q72?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Healthy Home,air-purifiers,Temtop Air Quality Monitor,B0D1K7GNPM,https://www.amazon.com/dp/B0D1K7GNPM?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Healthy Home,air-purifiers,HEPA Air Purifier for Home,B0BGPF71Q6,https://www.amazon.com/dp/B0BGPF71Q6?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Healthy Home,air-purifiers,Energy Efficient Dehumidifier,B0DXKRFFGM,https://www.amazon.com/dp/B0DXKRFFGM?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Healthy Home,air-purifiers,Whole House Humidifier,B01MR4Y0CZ,https://www.amazon.com/dp/B01MR4Y0CZ?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Healthy Home,air-purifiers,VOC Indoor Air Quality Detector,B08W8KS8D3,https://www.amazon.com/dp/B08W8KS8D3?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Non-Toxic Home,furniture,Organic Natural Mattress,B0DTTN5YMW,https://www.amazon.com/dp/B0DTTN5YMW?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Non-Toxic Home,furniture,Organic Cotton Bedding Set,B09JTTQ66V,https://www.amazon.com/dp/B09JTTQ66V?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Non-Toxic Home,furniture,Natural Wool Area Rug,B07JJDS9XP,https://www.amazon.com/dp/B07JJDS9XP?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Non-Toxic Home,furniture,GreenPan Ceramic Nonstick Cookware,B08T4Q3CNY,https://www.amazon.com/dp/B08T4Q3CNY?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Non-Toxic Home,furniture,Caraway Non-Toxic Cookware Set,B08XLDWJYV,https://www.amazon.com/dp/B08XLDWJYV?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Non-Toxic Home,furniture,Stasher Reusable Silicone Storage Bags,B087XBR564,https://www.amazon.com/dp/B087XBR564?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Sustainable Kitchen,composting,Lomi Kitchen Composter,B0CVNNKPRP,https://www.amazon.com/dp/B0CVNNKPRP?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Sustainable Kitchen,composting,Countertop Compost Bin,B015DRQ36E,https://www.amazon.com/dp/B015DRQ36E?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Sustainable Kitchen,composting,Food Waste Recycler,B0C777PL71,https://www.amazon.com/dp/B0C777PL71?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Sustainable Kitchen,composting,Vitamix Professional Blender,B0BWSJVTCJ,https://www.amazon.com/dp/B0BWSJVTCJ?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Sustainable Kitchen,composting,Berkey Water Filtration System,B09C59M3YY,https://www.amazon.com/dp/B09C59M3YY?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Sustainable Kitchen,composting,Whole Home Water Filtration System,B083NPW1DN,https://www.amazon.com/dp/B083NPW1DN?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Solar & Backup Power,solar,Jackery Solar Generator,B0D2L1G66J,https://www.amazon.com/dp/B0D2L1G66J?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Solar & Backup Power,solar,EcoFlow Portable Power Station,B0B9XB57XM,https://www.amazon.com/dp/B0B9XB57XM?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Solar & Backup Power,solar,BLUETTI Solar Generator,B0C1SMJTDT,https://www.amazon.com/dp/B0C1SMJTDT?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Solar & Backup Power,solar,Solar Powered Outdoor Lights,B09F3DJNGF,https://www.amazon.com/dp/B09F3DJNGF?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Solar & Backup Power,solar,Solar Security Camera,B0CCYP6KFM,https://www.amazon.com/dp/B0CCYP6KFM?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Home Automation,smart-home,Philips Hue Smart Lighting System,B0FMGP1P6W,https://www.amazon.com/dp/B0FMGP1P6W?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Home Automation,smart-home,Lutron Caseta Smart Lighting Control,B07DX5QRB8,https://www.amazon.com/dp/B07DX5QRB8?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Home Automation,smart-home,Aqara Smart Home Sensors,B09TP7VMKB,https://www.amazon.com/dp/B09TP7VMKB?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Home Automation,smart-home,SwitchBot Smart Home Automation,B0DKXZZ79Z,https://www.amazon.com/dp/B0DKXZZ79Z?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Home Automation,smart-home,Smart WiFi Door Lock,B0F61WG9F2,https://www.amazon.com/dp/B0F61WG9F2?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Garden,indoor-gardening,AeroGarden Indoor Garden System,B0B6BB4TVC,https://www.amazon.com/dp/B0B6BB4TVC?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Garden,indoor-gardening,Gardyn Indoor Hydroponic Garden,B0CJ4HWMCS,https://www.amazon.com/dp/B0CJ4HWMCS?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Garden,indoor-gardening,Click and Grow Smart Garden,B01MRVMKQH,https://www.amazon.com/dp/B01MRVMKQH?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Garden,indoor-gardening,Hydroponic Growing System,B08DLMRKHM,https://www.amazon.com/dp/B08DLMRKHM?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Smart Garden,indoor-gardening,Indoor Greenhouse Growing Kit,B0FL7V6PYB,https://www.amazon.com/dp/B0FL7V6PYB?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Electric Yard Equipment,smart-home,EGO Battery Powered Lawn Mower,B0857KWHHC,https://www.amazon.com/dp/B0857KWHHC?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Electric Yard Equipment,smart-home,Greenworks Electric Lawn Mower,B0CLSC6B2T,https://www.amazon.com/dp/B0CLSC6B2T?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Electric Yard Equipment,smart-home,Worx Landroid Robotic Lawn Mower,B0GQMG6ZJ3,https://www.amazon.com/dp/B0GQMG6ZJ3?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Electric Yard Equipment,smart-home,Battery Powered Leaf Blower,B0DJJB7WS9,https://www.amazon.com/dp/B0DJJB7WS9?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Electric Yard Equipment,smart-home,Battery Powered String Trimmer,B018S68U40,https://www.amazon.com/dp/B018S68U40?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Home Wellness,air-purifiers,Infrared Sauna Blanket,B09PSKN6X3,https://www.amazon.com/dp/B09PSKN6X3?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Home Wellness,air-purifiers,Red Light Therapy Panel,B0C77RVG2X,https://www.amazon.com/dp/B0C77RVG2X?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Home Wellness,air-purifiers,Whole House Water Filter System,B09JG2SWVC,https://www.amazon.com/dp/B09JG2SWVC?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Home Wellness,air-purifiers,Circadian Rhythm Lighting System,B0DGW46BW3,https://www.amazon.com/dp/B0DGW46BW3?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Home Wellness,air-purifiers,Medical Grade HEPA Air Purifier,B01728NLRG,https://www.amazon.com/dp/B01728NLRG?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Eco-Friendly Office,furniture,Bamboo Standing Desk,B08DK1WS6S,https://www.amazon.com/dp/B08DK1WS6S?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Eco-Friendly Office,furniture,Electric Standing Desk,B0F8MHPVPH,https://www.amazon.com/dp/B0F8MHPVPH?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Eco-Friendly Office,furniture,Energy Efficient Computer Monitor,B0F1HNQTN2,https://www.amazon.com/dp/B0F1HNQTN2?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
Eco-Friendly Office,furniture,LED Energy Saving Desk Lamp,B0F1HNQTN2,https://www.amazon.com/dp/B0F1HNQTN2?tag=ecomodernliving-20&linkCode=ll2,Curated eco-friendly pick for sustainable modern homes.,
EV Chargers,ev-chargers,ChargePoint Home Flex Level 2 EV Charger,,https://www.amazon.com/s?k=chargepoint+home+flex,Curated eco-friendly pick for sustainable modern homes.,
EV Chargers,ev-chargers,Emporia Level 2 EV Charger,,https://www.amazon.com/s?k=emporia+ev+charger,Curated eco-friendly pick for sustainable modern homes.,
Air Purifiers,air-purifiers,Levoit Core 400S Smart Air Purifier,,https://www.amazon.com/s?k=levoit+core+400s,Curated eco-friendly pick for sustainable modern homes.,
Air Purifiers,air-purifiers,Coway Airmega Air Purifier,,https://www.amazon.com/s?k=coway+airmega,Curated eco-friendly pick for sustainable modern homes.,
Water Saving Fixtures,water-fixtures,High Sierra Water Saving Showerhead,,https://www.amazon.com/s?k=high+sierra+showerhead,Curated eco-friendly pick for sustainable modern homes.,
Water Saving Fixtures,water-fixtures,Niagara Earth Massage Water Saving Showerhead,,https://www.amazon.com/s?k=niagara+earth+massage+showerhead,Curated eco-friendly pick for sustainable modern homes.,
Indoor Gardening Systems,indoor-gardening,AeroGarden Harvest Indoor Garden,,https://www.amazon.com/s?k=aerogarden+harvest,Curated eco-friendly pick for sustainable modern homes.,
Indoor Gardening Systems,indoor-gardening,iDOO Hydroponic Garden System,,https://www.amazon.com/s?k=idoo+hydroponic+garden,Curated eco-friendly pick for sustainable modern homes.,
Composting Systems,composting,FCMP Outdoor Compost Tumbler,,https://www.amazon.com/s?k=fcmp+outdoor+compost+tumbler,Curated eco-friendly pick for sustainable modern homes.,
Composting Systems,composting,Miracle-Gro Dual Chamber Composter,,https://www.amazon.com/s?k=miracle+gro+composter,Curated eco-friendly pick for sustainable modern homes.,
Solar Products,solar,Renogy Solar Panel Kit,,https://www.amazon.com/s?k=renogy+solar+panel+kit,Curated eco-friendly pick for sustainable modern homes.,
Solar Products,solar,Jackery Solar Generator,,https://www.amazon.com/s?k=jackery+solar+generator,Curated eco-friendly pick for sustainable modern homes.,
Eco Paints,eco-paints,ECOS Low VOC Eco-Friendly Paint,,https://www.amazon.com/s?k=ecos+paint,Curated eco-friendly pick for sustainable modern homes.,
Eco Paints,eco-paints,Rust-Oleum Low VOC Paint,,https://www.amazon.com/s?k=low+voc+paint,Curated eco-friendly pick for sustainable modern homes.,
